question,judge,agreement
Q1,SME0,1
Q1,SME1,0
Q1,SME2,0
Q1,SME3,1
Q1,SME4,0
Q1,SME5,0
Q1,SME6,0
Q1,SME7,0
Q1,SME8,1
Q1,LayUser0,1
Q1,LayUser1,1
Q1,LayUser2,0
Q1,LayUser3,1
Q1,LayUser4,0
Q1,LayUser5,0
Q1,LayUser6,0
Q1,LayUser7,0
Q1,LayUser8,1
Q1,LayUser9,0
Q2,SME0,1
Q2,SME1,1
Q2,SME2,1
Q2,SME3,0
Q2,SME4,0
Q2,SME5,0
Q2,SME6,1
Q2,SME7,1
Q2,SME8,1
Q2,LayUser0,0
Q2,LayUser1,0
Q2,LayUser2,0
Q2,LayUser3,1
Q2,LayUser4,1
Q2,LayUser5,0
Q2,LayUser6,1
Q2,LayUser7,0
Q2,LayUser8,1
Q2,LayUser9,1
Q3,SME0,1
Q3,SME1,1
Q3,SME2,1
Q3,SME3,0
Q3,SME4,1
Q3,SME5,1
Q3,SME6,0
Q3,SME7,1
Q3,SME8,1
Q3,LayUser0,1
Q3,LayUser1,1
Q3,LayUser2,1
Q3,LayUser3,1
Q3,LayUser4,1
Q3,LayUser5,0
Q3,LayUser6,0
Q3,LayUser7,0
Q3,LayUser8,0
Q3,LayUser9,1
Q4,SME0,1
Q4,SME1,1
Q4,SME2,1
Q4,SME3,1
Q4,SME4,1
Q4,SME5,1
Q4,SME6,1
Q4,SME7,1
Q4,SME8,1
Q4,LayUser0,1
Q4,LayUser1,0
Q4,LayUser2,0
Q4,LayUser3,1
Q4,LayUser4,1
Q4,LayUser5,1
Q4,LayUser6,0
Q4,LayUser7,1
Q4,LayUser8,0
Q4,LayUser9,1
Q5,SME0,0
Q5,SME1,0
Q5,SME2,0
Q5,SME3,1
Q5,SME4,1
Q5,SME5,1
Q5,SME6,1
Q5,SME7,1
Q5,SME8,1
Q5,LayUser0,0
Q5,LayUser1,0
Q5,LayUser2,0
Q5,LayUser3,1
Q5,LayUser4,0
Q5,LayUser5,0
Q5,LayUser6,1
Q5,LayUser7,0
Q5,LayUser8,0
Q5,LayUser9,0
Q6,SME0,0
Q6,SME1,0
Q6,SME2,1
Q6,SME3,0
Q6,SME4,0
Q6,SME5,1
Q6,SME6,1
Q6,SME7,1
Q6,SME8,1
Q6,LayUser0,1
Q6,LayUser1,1
Q6,LayUser2,1
Q6,LayUser3,1
Q6,LayUser4,1
Q6,LayUser5,1
Q6,LayUser6,1
Q6,LayUser7,1
Q6,LayUser8,0
Q6,LayUser9,1
Q7,SME0,1
Q7,SME1,0
Q7,SME2,0
Q7,SME3,1
Q7,SME4,1
Q7,SME5,1
Q7,SME6,0
Q7,SME7,0
Q7,SME8,0
Q7,LayUser0,1
Q7,LayUser1,0
Q7,LayUser2,0
Q7,LayUser3,0
Q7,LayUser4,0
Q7,LayUser5,0
Q7,LayUser6,0
Q7,LayUser7,0
Q7,LayUser8,1
Q7,LayUser9,0
Q8,SME0,0
Q8,SME1,1
Q8,SME2,0
Q8,SME3,0
Q8,SME4,0
Q8,SME5,0
Q8,SME6,0
Q8,SME7,0
Q8,SME8,1
Q8,LayUser0,1
Q8,LayUser1,1
Q8,LayUser2,1
Q8,LayUser3,1
Q8,LayUser4,1
Q8,LayUser5,1
Q8,LayUser6,1
Q8,LayUser7,1
Q8,LayUser8,0
Q8,LayUser9,1
Q9,SME0,0
Q9,SME1,1
Q9,SME2,1
Q9,SME3,1
Q9,SME4,0
Q9,SME5,1
Q9,SME6,1
Q9,SME7,1
Q9,SME8,0
Q9,LayUser0,1
Q9,LayUser1,1
Q9,LayUser2,1
Q9,LayUser3,1
Q9,LayUser4,1
Q9,LayUser5,1
Q9,LayUser6,1
Q9,LayUser7,1
Q9,LayUser8,0
Q9,LayUser9,1
Q10,SME0,1
Q10,SME1,1
Q10,SME2,1
Q10,SME3,1
Q10,SME4,1
Q10,SME5,1
Q10,SME6,1
Q10,SME7,0
Q10,SME8,0
Q10,LayUser0,0
Q10,LayUser1,1
Q10,LayUser2,1
Q10,LayUser3,1
Q10,LayUser4,0
Q10,LayUser5,1
Q10,LayUser6,1
Q10,LayUser7,0
Q10,LayUser8,0
Q10,LayUser9,1
Q11,SME0,1
Q11,SME1,1
Q11,SME2,1
Q11,SME3,1
Q11,SME4,0
Q11,SME5,1
Q11,SME6,1
Q11,SME7,1
Q11,SME8,1
Q11,LayUser0,0
Q11,LayUser1,0
Q11,LayUser2,0
Q11,LayUser3,1
Q11,LayUser4,0
Q11,LayUser5,1
Q11,LayUser6,0
Q11,LayUser7,1
Q11,LayUser8,0
Q11,LayUser9,0
Q12,SME0,1
Q12,SME1,0
Q12,SME2,0
Q12,SME3,1
Q12,SME4,0
Q12,SME5,0
Q12,SME6,0
Q12,SME7,1
